Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
72.2,2024-04-16,Tuesday,11:00:00,85.65,65,PE,22200.0,Sell,2024-04-16,Tuesday,12:02:00,102.8,-1114.7499999999995,-20.023350846468173,2024-04-18,,,Stop Loss Hit
73,2024-04-18,,11:00:00,22193.6,,,,,2024-04-18,,13:27:00,22168.35,-958.75,,,1995.5,-958.75,
73.1,2024-04-18,Thursday,11:00:00,27.6,65,CE,22200.0,Sell,2024-04-18,Thursday,11:04:00,33.1,-357.5,-19.92753623188406,2024-04-18,,,Stop Loss Hit
73.2,2024-04-18,Thursday,11:00:00,46.35,65,PE,22200.0,Sell,2024-04-18,Thursday,13:27:00,55.6,-601.25,-19.956850053937433,2024-04-18,,,Stop Loss Hit
74,2024-04-19,,11:00:00,21858.2,,,,,2024-04-19,,15:15:00,22162.3,4215.25,,,4595.5,-903.5,Exit Condition Met For Trade
74.1,2024-04-19,Friday,11:00:00,178.25,65,CE,21850.0,Sell,2024-04-19,Friday,11:28:00,213.9,-2317.2500000000005,-20.000000000000004,2024-04-25,,,Stop Loss Hit
74.2,2024-04-19,Friday,11:00:00,169.9,65,PE,21850.0,Sell,2024-04-19,Friday,15:15:00,69.4,6532.5,59.15244261330194,2024-04-25,,,Exit Condition Met For Trade
75,2024-04-22,,11:00:00,22279.05,,,,,2024-04-22,,15:15:00,22347.4,2122.25,,,2122.25,-2492.75,Exit Condition Met For Trade
75.1,2024-04-22,Monday,11:00:00,109.05,65,CE,22300.0,Sell,2024-04-22,Monday,11:59:00,130.85,-1416.9999999999998,-19.990829894543783,2024-04-25,,,Stop Loss Hit
75.2,2024-04-22,Monday,11:00:00,143.8,65,PE,22300.0,Sell,2024-04-22,Monday,15:15:00,89.35,3539.250000000001,37.86509040333798,2024-04-25,,,Exit Condition Met For Trade
76,2024-04-23,,11:00:00,22381.6,,,,,2024-04-23,,15:15:00,22377.5,-87.75,,,1134.25,-1108.25,Exit Condition Met For Trade
76.1,2024-04-23,Tuesday,11:00:00,81.7,65,CE,22400.0,Sell,2024-04-23,Tuesday,12:11:00,98.05,-1062.7499999999995,-20.012239902080776,2024-04-25,,,Stop Loss Hit
76.2,2024-04-23,Tuesday,11:00:00,113.65,65,PE,22400.0,Sell,2024-04-23,Tuesday,15:15:00,98.65,975.0,13.198416190057193,2024-04-25,,,Exit Condition Met For Trade
77,2024-04-24,,11:00:00,22466.0,,,,,2024-04-24,,15:15:00,22401.75,2041.0,,,2236.0,-143.0,Exit Condition Met For Trade
77.1,2024-04-24,Wednesday,11:00:00,84.2,65,CE,22450.0,Sell,2024-04-24,Wednesday,15:15:00,41.0,2808.0,51.30641330166271,2024-04-25,,,Exit Condition Met For Trade
77.2,2024-04-24,Wednesday,11:00:00,58.9,65,PE,22450.0,Sell,2024-04-24,Wednesday,13:12:00,70.7,-767.0000000000002,-20.033955857385408,2024-04-25,,,Stop Loss Hit
78,2024-04-25,,11:00:00,22365.1,,,,,2024-04-25,,15:15:00,22570.25,1836.25,,,1836.25,-435.5,Exit Condition Met For Trade
78.1,2024-04-25,Thursday,11:00:00,65.6,65,CE,22350.0,Sell,2024-04-25,Thursday,11:08:00,78.7,-851.5000000000006,-19.96951219512197,2024-04-25,,,Stop Loss Hit
